City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Khatanga,RU,71.9667,102.5,46.36,66,62,9.55,broken clouds
198,Hamina,FI,60.5697,27.1979,69.08,83,8,8.79,clear sky
199,Sangueya,GN,10.7,-14.3667,80.38,73,100,7.67,overcast clouds
200,Gizo,SB,-8.103,156.8419,80.89,75,1,5.01,clear sky
201,Gold Coast,AU,-28.0,153.4333,52.0,83,5,3.44,clear sky
202,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,10.36,broken clouds
203,Mogadishu,SO,2.0371,45.3438,79.21,82,52,17.2,broken clouds
204,Berea,US,41.3662,-81.8543,78.26,64,75,12.66,broken clouds
205,Hambantota,LK,6.1241,81.1185,79.14,94,75,2.3,broken clouds
206,Nago,JP,26.5881,127.9761,76.05,91,100,9.37,overcast clouds
207,Tagusao,PH,9.1924,117.8141,79.38,79,100,4.34,overcast clouds
208,Kalabo,ZM,-14.97,22.6814,59.5,49,3,5.44,clear sky
209,Krasnoyarskiy,RU,51.965,59.8967,58.03,83,12,6.73,few clouds
210,Tabriz,IR,38.08,46.2919,69.26,46,40,9.22,scattered clouds
211,Namibe,AO,-15.1961,12.1522,71.51,60,0,7.56,clear sky
212,Waipawa,NZ,-41.4122,175.5153,51.35,73,100,19.55,overcast clouds
213,Catamarca,AR,-28.4696,-65.7852,68.58,40,0,4.0,clear sky
214,Monrovia,LR,6.3005,-10.7969,78.1,85,100,8.7,light rain
215,Nangong,CN,37.3581,115.3744,71.58,77,100,10.22,moderate rain
216,Geraldton,AU,-28.7667,114.6,64.81,94,75,4.61,shower rain
217,Krasnoselkup,RU,65.7,82.4667,65.73,51,100,16.51,overcast clouds
218,Nuuk,GL,64.1835,-51.7216,52.41,62,75,9.22,broken clouds
219,Siparia,TT,10.1333,-61.5,78.64,85,100,13.76,overcast clouds
220,Saint Anthony,US,45.0205,-93.218,79.21,57,75,6.91,broken clouds
221,Corowa,AU,-36.0333,146.3833,47.41,88,100,15.1,overcast clouds
222,Bengkulu,ID,-3.8004,102.2655,74.86,91,100,6.82,light rain
223,Caceres,ES,39.522,-6.3748,97.0,13,37,6.02,scattered clouds
224,Auki,SB,-8.7676,160.7034,76.15,87,9,4.18,clear sky
225,Yining,CN,29.0361,114.5636,72.0,90,99,0.49,overcast clouds
226,Banda Aceh,ID,5.5577,95.3222,79.84,77,100,9.57,overcast clouds
227,Luwuk,ID,-0.9516,122.7875,77.52,86,100,1.23,overcast clouds
